                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.6273,                 1.5683,                 2.1054,                0.58906,                0.74223,                0.63814,                0.37298,                 1.4723,                 1.7356,                 2.0697,               0.001086,               0.001086,               0.001086
                    109,                 1.7323,                 1.6799,                 2.2028,                0.58157,                 0.6819,                0.61158,                0.38349,                 1.4078,                 1.6706,                 1.9957,              0.0010845,              0.0010845,              0.0010845
                    110,                 1.6432,                 1.5916,                 2.0816,                0.62251,                0.74009,                0.68161,                0.42554,                 1.3966,                 1.5152,                 1.9642,              0.0010829,              0.0010829,              0.0010829
                    111,                 1.6501,                 1.5171,                 2.1093,                0.65234,                0.79811,                0.75321,                 0.4737,                 1.3817,                 1.4161,                 1.9598,              0.0010814,              0.0010814,              0.0010814
                    112,                 1.6532,                 1.6362,                 2.1378,                0.66999,                0.76343,                0.79217,                0.51594,                 1.3486,                 1.5218,                 1.9706,              0.0010798,              0.0010798,              0.0010798
                    113,                 1.6252,                 1.5624,                 2.1017,                0.68327,                0.76118,                0.79789,                0.52232,                 1.3562,                 1.4378,                 1.9784,              0.0010783,              0.0010783,              0.0010783
                    114,                 1.5296,                 1.4242,                   2.02,                0.66029,                0.83556,                0.80225,                 0.5246,                 1.3615,                 1.4135,                 1.9744,              0.0010768,              0.0010768,              0.0010768
                    115,                 1.6124,                 1.5714,                  2.132,                0.65675,                 0.8398,                0.80508,                0.51931,                   1.36,                 1.4242,                 1.9747,              0.0010752,              0.0010752,              0.0010752
                    116,                 1.5471,                 1.4561,                 2.0437,                0.64739,                0.81891,                0.80323,                0.52726,                 1.3255,                 1.3164,                 1.9356,              0.0010737,              0.0010737,              0.0010737
                    117,                  1.642,                 1.5744,                 2.1048,                0.61454,                0.83148,                0.78249,                0.51957,                 1.3002,                 1.2995,                 1.9141,              0.0010721,              0.0010721,              0.0010721
                    118,                 1.6874,                 1.5384,                 2.0963,                0.61221,                0.82574,                0.74923,                0.48848,                 1.3262,                 1.3481,                 1.9202,              0.0010706,              0.0010706,              0.0010706
                    119,                 1.6081,                   1.56,                 2.0634,                0.57069,                0.80757,                0.70114,                0.44857,                 1.3959,                 1.4193,                  1.949,               0.001069,               0.001069,               0.001069
                    120,                 1.6571,                  1.557,                 2.1117,                0.59509,                 0.7892,                0.72759,                0.44902,                 1.4096,                 1.3876,                 1.9327,              0.0010675,              0.0010675,              0.0010675
                    121,                 1.5673,                 1.4781,                 2.0311,                0.61712,                0.84697,                0.75916,                0.48232,                 1.3885,                 1.3763,                 1.9124,              0.0010659,              0.0010659,              0.0010659
                    122,                  1.519,                 1.3684,                 1.9999,                0.56248,                 0.8697,                0.76151,                0.49186,                  1.353,                 1.4244,                 1.9099,              0.0010644,              0.0010644,              0.0010644
                    123,                  1.542,                 1.3944,                 1.9935,                0.58342,                0.84186,                 0.7596,                0.49823,                 1.3328,                 1.4694,                 1.9067,              0.0010628,              0.0010628,              0.0010628
                    124,                 1.6546,                 1.4877,                 2.0696,                0.55739,                0.83617,                0.75155,                0.46786,                 1.3819,                  1.624,                 1.9116,              0.0010613,              0.0010613,              0.0010613
                    125,                 1.5432,                 1.4739,                 2.0048,                0.64841,                0.70926,                0.74188,                0.47252,                 1.3352,                 1.7271,                 1.8729,              0.0010597,              0.0010597,              0.0010597
                    126,                 1.5501,                 1.3979,                  1.967,                0.63507,                0.72312,                0.73835,                0.48109,                 1.2937,                 1.7673,                 1.8512,              0.0010582,              0.0010582,              0.0010582
                    127,                 1.5257,                 1.4642,                 2.0039,                0.64922,                0.73883,                 0.7346,                0.48677,                 1.2714,                 1.6143,                  1.846,              0.0010566,              0.0010566,              0.0010566
                    128,                 1.5456,                 1.4316,                 1.9955,                0.59895,                0.83321,                0.73434,                0.47264,                 1.3415,                 1.4521,                 1.9059,              0.0010551,              0.0010551,              0.0010551
                    129,                 1.5188,                  1.437,                 2.0181,                0.59782,                0.83268,                0.75558,                0.50066,                 1.3342,                 1.3945,                 1.9299,              0.0010535,              0.0010535,              0.0010535
                    130,                 1.6286,                 1.4963,                  2.079,                0.62891,                0.81035,                0.77359,                0.51642,                  1.353,                 1.3539,                 1.9457,               0.001052,               0.001052,               0.001052
                    131,                 1.5072,                 1.3955,                 1.9673,                0.62625,                0.86292,                 0.7914,                0.54599,                 1.2879,                 1.3187,                   1.88,              0.0010505,              0.0010505,              0.0010505
                    132,                 1.5344,                 1.3351,                 1.9522,                0.64577,                0.88104,                0.80739,                0.54156,                 1.3034,                 1.3544,                 1.8862,              0.0010489,              0.0010489,              0.0010489
                    133,                 1.5802,                 1.5036,                 2.0396,                0.63876,                0.86244,                0.81211,                0.55449,                  1.255,                 1.3336,                 1.8761,              0.0010474,              0.0010474,              0.0010474
